ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2013-01-02,18633381,5681666824,305.0,307.5,301.5,303.0,2.5,13508
2013-01-03,25556730,7638890850,305.5,306.0,294.0,294.0,-9.0,18796
2013-01-04,24077697,6980935130,292.0,295.0,285.0,287.0,-7.0,16674
2013-01-07,15927876,4578511063,284.0,291.0,282.0,288.0,1.0,11612
2013-01-08,30645937,8523753986,286.0,286.5,273.0,276.5,-11.5,21667
2013-01-09,14673694,4092292208,274.5,282.0,274.0,281.0,4.5,10750
2013-01-10,15687716,4344229425,283.5,284.0,274.0,275.0,-6.0,11540
2013-01-11,9437678,2629267484,277.0,282.0,276.0,277.0,2.0,7036
2013-01-14,16134084,4563433944,276.0,291.0,273.5,291.0,14.0,12308
2013-01-15,15406651,4474081488,291.0,294.5,287.0,287.5,-3.5,11950
2013-01-16,12426286,3618776154,292.0,293.5,289.0,289.0,1.5,9572
2013-01-17,24583585,7057848385,295.0,297.0,276.0,279.5,-9.5,17751
2013-01-18,13213082,3775227616,286.0,288.0,282.5,288.0,8.5,9532
2013-01-21,7852413,2245966031,287.5,289.0,283.0,286.5,-1.5,5852
2013-01-22,10847373,3144493948,289.5,291.5,288.0,289.5,3.0,7944
2013-01-23,19875832,5664648788,291.0,292.5,280.0,283.5,-6.0,14756
2013-01-24,9173086,2577833752,281.0,283.5,278.5,281.0,-2.5,6858
2013-01-25,13514801,3864811856,285.0,289.0,284.0,284.0,3.0,9497
2013-01-28,10871437,3064895432,285.0,286.5,280.5,280.5,-3.5,7223
2013-01-29,8894678,2518337730,281.0,285.0,281.0,284.5,4.0,6029
2013-01-30,24885308,7187857320,286.0,293.0,283.0,290.0,5.5,17422
2013-01-31,15083785,4374834165,290.0,291.5,288.0,291.5,1.5,8932
2013-02-01,15606739,4568232310,293.0,296.0,290.0,290.0,-1.5,11597
2013-02-04,19090101,5452524386,288.0,289.0,283.0,285.5,-4.5,13642
2013-02-05,9566406,2544663996,266.0,266.0,266.0,266.0,-19.5,6950
2013-02-06,33272200,8852790900,260.0,272.0,258.0,271.5,5.5,22015
2013-02-18,13205054,3626688188,275.0,277.5,272.0,272.0,0.5,8771
2013-02-19,13810953,3844370246,274.0,282.0,274.0,282.0,10.0,9627
2013-02-20,17154078,4811550764,285.0,286.5,277.0,277.5,-4.5,12917
2013-02-21,8594157,2405562460,279.0,281.5,278.5,279.0,1.5,6381
2013-02-22,5938671,1653588841,280.0,280.5,276.0,278.0,-1.0,4714
2013-02-23,4805954,1337369163,279.5,280.5,277.0,278.0,0.0,3621
2013-02-25,6320385,1751039035,278.0,279.0,275.5,275.5,-2.5,4605
2013-02-26,5871162,1619457874,274.0,277.5,272.0,276.5,1.0,4369
2013-02-27,9927554,2778673012,278.0,283.0,277.0,277.0,0.5,7211
2013-03-01,12122018,3418145500,283.0,284.0,280.0,280.0,3.0,8476
2013-03-04,9143052,2574032057,281.0,283.5,280.0,280.5,0.5,6203
2013-03-05,21509939,5912242225,283.0,283.0,270.0,273.0,-7.5,15209
2013-03-06,30873157,8017654006,260.0,265.0,254.5,255.5,-17.5,22593
2013-03-07,18472957,4860384062,256.0,269.5,256.0,266.0,10.5,13930
2013-03-08,14068781,3679207841,267.0,267.0,258.5,259.5,-6.5,10831
2013-03-11,17437758,4392259532,256.0,257.0,248.0,252.5,-7.0,13403
2013-03-12,8242952,2086316856,252.5,256.0,250.0,251.0,-1.5,6566
2013-03-13,20401910,4983310630,251.0,252.0,240.0,241.0,-10.0,16073
2013-03-14,18112190,4366763170,238.0,244.5,238.0,241.0,0.0,12103
2013-03-15,23754330,5619612458,243.0,243.5,231.0,234.5,-6.5,17169
2013-03-18,12992150,3097002195,233.0,241.0,233.0,240.0,5.5,9979
2013-03-19,17481214,4313656714,246.0,250.0,243.0,249.0,9.0,13318
2013-03-20,10429487,2560259236,247.0,247.0,244.0,246.5,-2.5,8073
2013-03-21,12174575,2932542500,245.5,245.5,238.0,239.0,-7.5,9904
2013-03-22,5995443,1444032820,239.5,243.0,239.5,240.0,1.0,4683
2013-03-25,7523285,1845752157,245.0,248.0,243.5,243.5,3.5,5757
2013-03-26,5211562,1280847562,246.0,247.0,244.0,246.5,3.0,4201
2013-03-27,10404400,2605990763,249.0,252.5,248.5,248.5,2.0,8152
2013-03-28,7356912,1805925879,249.0,249.0,244.0,244.0,-4.5,5512
2013-03-29,9090584,2218232840,247.0,247.5,241.0,244.5,0.5,6734
2013-04-01,6110917,1476246080,244.5,244.5,240.0,240.5,-4.0,4925
2013-04-02,6104341,1473507863,240.5,243.5,240.5,243.0,2.5,4175
2013-04-03,8026108,1955877586,243.5,246.5,241.0,246.5,3.5,5580
2013-04-08,11124707,2697098680,245.0,245.0,240.0,241.0,-5.5,7793
2013-04-09,17062635,4198563212,245.5,248.5,244.0,244.5,3.5,10775
2013-04-10,9109687,2249371376,246.5,249.0,245.0,247.5,3.0,6163
2013-04-11,18641914,4727604864,250.0,256.5,249.5,256.5,9.0,13133
2013-04-12,19000455,4955474411,259.0,263.0,255.5,261.5,5.0,13226
2013-04-15,13715577,3591107289,264.0,266.5,257.0,258.0,-3.5,9423
2013-04-16,8113343,2122061331,257.0,265.0,255.0,263.5,5.5,5912
2013-04-17,14909969,4011288568,264.0,272.0,263.5,272.0,8.5,10280
2013-04-18,23049123,6439332186,275.0,284.0,274.5,282.0,10.0,15406
2013-04-19,19629814,5550579930,286.0,287.0,279.0,279.5,-2.5,13243
2013-04-22,7434483,2074875791,280.0,282.0,277.0,277.0,-2.5,5356
2013-04-23,22308029,6049589237,276.5,277.0,267.0,268.0,-9.0,15190
2013-04-24,14826458,4046730003,270.0,278.5,267.5,278.5,10.5,10671
2013-04-25,17161422,4841593004,280.0,284.0,279.5,282.0,3.5,11715
2013-04-26,23504508,6673575419,285.0,289.0,277.5,277.5,-4.5,15647
2013-04-29,23578490,6768705110,285.0,290.0,284.0,290.0,12.5,16241
2013-04-30,36519141,10962826800,298.0,305.0,296.5,301.0,11.0,24358
2013-05-02,29789606,8724096879,295.0,296.5,289.0,295.0,-6.0,20024
2013-05-03,27526453,7798704840,283.0,287.5,277.5,279.5,-15.5,19061
2013-05-06,12050185,3362512354,281.0,283.0,275.5,280.5,1.0,8634
2013-05-07,9600592,2680937422,276.0,282.0,275.0,279.5,-1.0,6580
2013-05-08,9633378,2680705740,280.0,282.0,276.0,278.0,-1.5,6577
2013-05-09,14504081,4109561004,279.5,286.5,277.0,284.0,6.0,9046
2013-05-10,9061477,2531812060,282.5,282.5,278.0,279.0,-5.0,6183
2013-05-13,5561579,1555653699,277.0,281.5,277.0,281.0,2.0,4078
2013-05-14,9295683,2631956066,282.5,286.0,279.0,280.5,-0.5,6596
2013-05-15,7020207,1974208874,280.0,282.5,279.0,282.0,1.5,5088
2013-05-16,18000128,5192741620,285.0,291.5,284.0,290.0,8.0,12401
2013-05-17,13059745,3793196825,293.0,294.5,285.0,285.0,-5.0,8536
2013-05-20,9408872,2724270665,288.5,292.5,285.5,292.0,7.0,6482
2013-05-21,7367880,2139452852,292.0,293.5,288.0,288.5,-3.5,5474
2013-05-22,4570426,1325900596,292.0,293.0,288.5,288.5,0.0,3405
2013-05-23,16438911,4730713824,289.5,293.5,282.5,282.5,-6.0,11508
2013-05-24,10901403,3050605437,284.5,285.0,276.5,279.0,-3.5,8043
2013-05-27,4854478,1354497576,279.0,281.0,277.0,279.5,0.5,3533
2013-05-28,6913089,1942729124,280.5,283.5,278.5,282.5,3.0,4152
2013-05-29,9575905,2683187900,283.5,283.5,278.5,279.0,-3.5,6334
2013-05-30,7205855,2020601584,279.0,282.5,278.0,280.0,1.0,4844
2013-05-31,7768301,2168759010,282.5,283.0,276.5,276.5,-3.5,5323
2013-06-03,18232831,5207426990,279.5,290.5,278.0,290.5,14.0,12237
2013-06-04,11632645,3357132404,290.5,291.5,286.0,287.5,-3.0,7065
2013-06-05,13754718,3983600130,292.0,294.0,285.0,285.0,-2.5,8974
2013-06-06,8862840,2518257380,285.5,287.5,281.0,281.0,-4.0,6389
2013-06-07,12760385,3533453260,282.0,283.0,273.5,274.0,-7.0,9441
2013-06-10,9216073,2538120075,276.0,279.5,271.0,273.5,-0.5,6461
2013-06-11,5814167,1586279591,275.5,276.0,271.5,271.5,-2.0,4732
2013-06-13,12288706,3302167105,270.0,273.5,265.0,265.0,-6.5,8868
